Structure	acname	activity
N#Cc1ccc(-c2ccc(C3(NCC(=O)Nc4ccc(F)c(Cl)c4)CCN(C4CCCC4)CC3)cc2)cc1	Ki	7.555929093899351
O=C(CNC1(c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1	Ki	5.7300237858614285
O=C(CNC1(c2ccc(-c3ccc(Cl)cc3)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1	Ki	6.551480415064744
O=C(CNC1(c2ccc(-c3ccc(F)cc3)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1	Ki	8.622553707074063
N#Cc1cccc(-c2ccc(C3(NCC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	10.680016342035124
N#Cc1cccc(-c2ccc(C3(NCC(=O)Nc4ccc(F)c(C(F)(F)F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	11.042921835724492
N#Cc1cccc(-c2ccc(C3(NCC(=O)Nc4ccc(F)c(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	12.716898269296165
N#Cc1cccc(-c2ccc(C3(NCC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	12.716898269296165
N#Cc1cccc(-c2ccc(C3(NCC(=O)Nc4cc(F)cc(F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	12.716898269296165
N#Cc1cccc(-c2ccc(C3(OCC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	9.923690259853647
N#Cc1cccc(-c2ccc(C3(OCC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	13.122363377404328
O=Cc1cccc(-c2ccc(C3(NCC(=O)Nc4ccc(F)c(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	10.770988120240851
O=C(CNC1(c2ccc(-c3ccccc3)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1	Ki	8.330713624473619
O=C(CNC1(c2ccc(-c3ccccc3Cl)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1	Ki	7.278818960372969
O=C(CNC1(c2ccc(-c3ccccc3F)cc2)CCN(C2CCCC2)CC1)Nc1ccc(F)c(Cl)c1	Ki	8.633727007672189
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	8.963480294044658
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4ccc(F)c(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	10.41431317630212
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4ccc(F)c(F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	11.250561200502737
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	10.077840939680906
N#Cc1cccc(-c2ccc(C3(CCC(=O)Nc4cc(F)cc(F)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	10.126631103850338
N#Cc1cccc(-c2ccc(C3(CNC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(C4CCCC4)CC3)cc2)c1	Ki	12.89921982609012
O=C(CN1CCc2cc(-c3cc(Cl)ccc3Cl)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	9.34960243930969
O=C(CN1CCc2cc(-c3cccc(C(F)(F)F)c3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	8.563237129917644
O=C(CN1CCc2cc(-c3cccc(-c4ncc[nH]4)c3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	9.986869161475179
O=C(CN1CCc2cc(-c3cccc(Cl)c3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	10.054310442270712
O=C(CN1CCc2cc(-c3cccc(F)c3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	9.525051116815883
O=C(CN1CCc2cc(-c3cccc(OC(F)(F)F)c3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	9.47170513611059
N#Cc1ccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCCC3)CC2)cc1	Ki	9.133379330840054
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCCC3)CC2)c1	Ki	11.417615285165903
O=Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C3C2CCN(C3CCCC3)CC2)c1	Ki	9.47170513611059
O=C(CN1CCc2cc(-c3cccc4cccnc34)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	7.132149612197999
O=C(CN1CCc2cc(-c3ccccc3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	8.691546578561015
O=C(CN1CCc2cc(-c3ccc[nH]3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	7.695213139013323
O=C(CN1CCc2cc(-c3ccncc3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	10.637456727616328
O=C(CN1CCc2cc(-c3cccnc3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	10.680016342035124
O=C(CN1CCc2cc(-c3ccsc3)ccc2C1C1CCN(C2CCCC2)CC1)Nc1cc(Cl)cc(Cl)c1	Ki	9.070578429601024
N#Cc1cccc(-c2ccc(N(C(=O)Nc3cc(Cl)cc(Cl)c3)C3CCN(C4CCCC4)CC3)cc2)c1	Ki	12.89921982609012
N#Cc1cccc(-c2ccc3c(c2)CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)C32CCN(C3CCCC3)CC2)c1	Ki	11.042921835724492
O=C(CSc1nnc(Cc2ccccc2)n1Cc1ccco1)NC1CCCC1	IC50	3.1279616570175706
O=C1N/C(=C\c2ccc(CNC3CCCC3)cc2)C(=O)N1c1ccc(Oc2ccccc2)cc1	Ki	5.298317366548036
O=C(NCC(CCNC1CCCC1)c1ccc(-c2ccc(Cl)cc2)cc1)Nc1cc(Cl)cc(Cl)c1	IC50	8.180720954795024
O=C(NCC(CCNC1CCCC1)c1ccc(-c2ccccc2)cc1)Nc1cc(Cl)cc(Cl)c1	IC50	9.903487552536127
O=C(NCC(CCNC1CCCC1)c1ccc(-c2cccnc2)cc1)Nc1cc(Cl)cc(Cl)c1	IC50	10.637456727616328
